format O
year 2007-03

#LIST
forbid "Breaker the Magical Warrior"
forbid "Cyber-Stein"
forbid "Magician of Faith"
forbid "Victory Dragon"
forbid "Graceful Charity"
forbid "Last Will"

limit "Elemental HERO Stratos"
limit "Gorz the Emissary of Darkness"
limit "Neo-Spacian Grand Mole"
limit "Chain Strike"
limit "Dimension Fusion"
limit "Giant Trunade"
limit "Gold Sarcophagus"
limit "Overload Fusion"
limit "Snatch Steal"
limit "Mind Crush"

semilimit "D.D. Assailant"
semilimit "Mask of Darkness"
semilimit "Metamorphosis"

unlimit "Exiled Force"
unlimit "Injection Fairy Lily"
unlimit "Sacred Phoenix of Nephthys"
unlimit "Upstart Goblin"
